,index,Trade,JPM,JPM_stock,Order,Shares,cash,equity_value,port_value,market_impact,Symbol,prev_cash
110,2008-06-10,-2000.0,35.21,-1000,SELL,2000.0,1135870.0,-35210.0,1100660.0,0.0,JPM,1065450.0
111,2008-06-11,2000.0,34.14,1000,BUY,2000.0,1067590.0,34140.0,1101730.0,0.0,JPM,1135870.0
112,2008-06-12,0.0,34.95,1000,HOLD,0.0,1067590.0,34950.0,1102540.0,0.0,JPM,1067590.0
113,2008-06-13,0.0,36.4,1000,HOLD,0.0,1067590.0,36400.0,1103990.0,0.0,JPM,1067590.0
114,2008-06-16,-2000.0,36.73,-1000,SELL,2000.0,1141050.0,-36730.0,1104320.0,0.0,JPM,1067590.0
115,2008-06-17,0.0,35.9,-1000,HOLD,0.0,1141050.0,-35900.0,1105150.0,0.0,JPM,1141050.0
116,2008-06-18,0.0,35.63,-1000,HOLD,0.0,1141050.0,-35630.0,1105420.0,0.0,JPM,1141050.0
117,2008-06-19,0.0,35.54,-1000,HOLD,0.0,1141050.0,-35540.0,1105510.0,0.0,JPM,1141050.0
118,2008-06-20,0.0,34.82,-1000,HOLD,0.0,1141050.0,-34820.0,1106230.0,0.0,JPM,1141050.0
119,2008-06-23,2000.0,33.91,1000,BUY,2000.0,1073230.0,33910.0,1107140.0,0.0,JPM,1141050.0
120,2008-06-24,0.0,34.69,1000,HOLD,0.0,1073230.0,34690.0,1107920.0,0.0,JPM,1073230.0
121,2008-06-25,-2000.0,34.86,-1000,SELL,2000.0,1142950.0,-34860.0,1108090.0,0.0,JPM,1073230.0
122,2008-06-26,0.0,33.4,-1000,HOLD,0.0,1142950.0,-33400.0,1109550.0,0.0,JPM,1142950.0
123,2008-06-27,0.0,32.23,-1000,HOLD,0.0,1142950.0,-32229.999999999996,1110720.0,0.0,JPM,1142950.0
124,2008-06-30,2000.0,31.55,1000,BUY,2000.0,1079850.0,31550.0,1111400.0,0.0,JPM,1142950.0
125,2008-07-01,0.0,31.63,1000,HOLD,0.0,1079850.0,31630.0,1111480.0,0.0,JPM,1079850.0
126,2008-07-02,0.0,32.17,1000,HOLD,0.0,1079850.0,32170.0,1112020.0,0.0,JPM,1079850.0
127,2008-07-03,-2000.0,32.83,-1000,SELL,2000.0,1145510.0,-32830.0,1112680.0,0.0,JPM,1079850.0
128,2008-07-07,2000.0,31.65,1000,BUY,2000.0,1082210.0,31650.0,1113860.0,0.0,JPM,1145510.0
129,2008-07-08,-2000.0,33.26,-1000,SELL,2000.0,1148730.0,-33260.0,1115470.0,0.0,JPM,1082210.0
130,2008-07-09,2000.0,31.88,1000,BUY,2000.0,1084970.0,31880.0,1116850.0,0.0,JPM,1148730.0
131,2008-07-10,-2000.0,32.09,-1000,SELL,2000.0,1149150.0,-32090.000000000004,1117060.0,0.0,JPM,1084970.0
132,2008-07-11,0.0,30.84,-1000,HOLD,0.0,1149150.0,-30840.0,1118310.0,0.0,JPM,1149150.0
133,2008-07-14,0.0,29.47,-1000,HOLD,0.0,1149150.0,-29470.0,1119680.0,0.0,JPM,1149150.0
134,2008-07-15,2000.0,28.85,1000,BUY,2000.0,1091450.0,28850.0,1120300.0,0.0,JPM,1149150.0
