,0
2009-03-18,1021078.95
2009-03-19,1023118.95
2009-03-20,1024828.95
2009-03-23,1019418.95
2009-03-24,1021748.95
2009-03-25,1019698.95
2009-03-26,1019188.95
2009-03-27,1020798.95
2009-03-30,1023218.95
2009-03-31,1021578.95
2009-04-01,1020098.95
2009-04-02,1020028.95
2009-04-03,1018968.95
2009-04-06,1019988.95
2009-04-07,1020898.95
2009-04-08,1020728.95
2009-04-09,1015668.95
2009-04-13,1014768.95
2009-04-14,1017618.95
2009-04-15,1015848.95
2009-04-16,1015208.95
2009-04-17,1015188.95
2009-04-20,1018578.95
2009-04-21,1015878.95
2009-04-22,1016478.95
2009-04-23,1015228.95
2009-04-24,1015068.95
2009-04-27,1015638.95
2009-04-28,1015628.95
2009-04-29,1014028.95
2009-04-30,1015428.95
2009-05-01,1015918.95
2009-05-04,1012778.95
2009-05-05,1013698.95
2009-05-06,1011418.95
2009-05-07,1013308.95
2009-05-08,1009788.95
2009-05-11,1012738.95
2009-05-12,1013188.95
2009-05-13,1014438.95
2009-05-14,1013018.95
2009-05-15,1013618.95
2009-05-18,1011388.95
2009-05-19,1012758.95
2009-05-20,1013958.95
2009-05-21,1013628.95
2009-05-22,1014088.95
2009-05-26,1012068.95
2009-05-27,1013858.95
2009-05-28,1011968.95
2009-05-29,1011728.95
2009-06-01,1012478.95
2009-06-02,1014008.95
2009-06-03,1014166.1
2009-06-04,1015466.1
2009-06-05,1014706.1
2009-06-08,1015506.1
2009-06-09,1015376.1
2009-06-10,1014976.1
2009-06-11,1015076.1
2009-06-12,1015256.1
2009-06-15,1014186.1
2009-06-16,1013706.1
2009-06-17,1012976.1
2009-06-18,1014346.1
2009-06-19,1015136.1
2009-06-22,1013106.1
2009-06-23,1013776.1
2009-06-24,1013666.1
2009-06-25,1014316.1
2009-06-26,1014606.1
2009-06-29,1014756.1
2009-06-30,1014286.1
2009-07-01,1014006.1
2009-07-02,1012586.1
2009-07-06,1012896.1
2009-07-07,1013096.1
2009-07-08,1013006.1
2009-07-09,1013866.1
2009-07-10,1012646.1
2009-07-13,1014906.1
